,absolute_tidy_tweets,stopped_tweets,positive,negative,total,StSc,sentiment
81,If you consider academia as a lifestyle then rest should be part of it Take a well deserved rest AcademicTwitter AcademicChatter AcademicBreakNow phdvoice postdoclife,consider academia lifestyle rest part take well deserved rest academictwitter academicchatter academicbreaknow phdvoice postdoclife,3,0,24,1.0,1
86,Paanong hindi bababa ang quality eh mga aktibistang estudyante ng UP nagpapauso ng AcademicBreak AcademicBreakNow PagodNaKami Noon panahon ni Duterte no classes ang sigaw Panahon ni Marcos no classes pa din Humihingi ng better education pero ayaw magsipasok t co nQEt YQLC,paanong quality eh aktibistang estudyante nagpapauso academicbreak academicbreaknow pagodnakami duterte classes sigaw marcos classes humihingi better education ayaw magsipasok co nqet yqlc,1,-4,42,-0.6,0
90,sobrang lutang ko na fleece academicbreaknow eme,sobrang lutang fleece academicbreaknow eme,0,0,7,0.0,0
93,pagod n aq magreview AcademicBreakNow,pagod n aq magreview academicbreaknow,0,0,5,0.0,0
94,Wala pa ngang scores sa exam nasa acceptance stage nako AcademicBreakNow,wala ngang scores exam nasa acceptance stage nako academicbreaknow,0,0,11,0.0,0
96,nakakapagod maglakad AcademicBreakNow,nakakapagod maglakad academicbreaknow,0,0,3,0.0,0
97,AcademicBreakNow isang oras lang tulog ko,academicbreaknow oras lang tulog,0,0,6,0.0,0
98,right academicbreaknow,right academicbreaknow,1,0,2,1.0,1
102,ang sakit ng likod ko academicbreaknow,sakit academicbreaknow,0,-2,6,0.0,0
104,may videoke dito pero hindi ako makakanta dahil sa pagod ko sa exam kanina hays academicbreaknow,videoke makakanta pagod exam kanina hays academicbreaknow,0,-2,16,0.0,0
105,pagod na ako mag math academicbreaknow,pagod mag math academicbreaknow,0,0,6,0.0,0
107,BELATED Happy Vince s day late dahil sa midterms uwa uwa AcademicBreakNow K Months KperMonth hold high the green amp gold t co Y OPQJCHof,belated happy vince day late midterms uwa uwa academicbreaknow k months kpermonth hold high green amp gold co opqjchof,1,0,25,1.0,1
109,inang acads yan pinapalayo ako sa mga laloves ko Di na ren em nakakapagbasa nang au dahil busy sa pag gawa nang mga PeTa s academicbreaknow,inang acads yan pinapalayo laloves di ren em nakakapagbasa nang au busy pag gawa nang peta academicbreaknow,0,0,26,0.0,0
110,pagod nako AcademicFreeze AcademicBreakNow,pagod nako academicfreeze academicbreaknow,0,0,4,0.0,0
112,lagi na sumasakit likod ko at pagod na ako kaya academicbreaknow ayawkonamagcollege,lagi sumasakit pagod academicbreaknow ayawkonamagcollege,1,-3,12,-0.5,0
113,isang subj pa lang yun ngayong araw pagod na q hirap pa sumakay ng jeep pauwi academicbreaknow,subj lang yun ngayong araw pagod q hirap sumakay jeep pauwi academicbreaknow,0,-2,17,0.0,0
114,AcademicBreakNow pagod na ko mag commute huhu,academicbreaknow pagod mag commute huhu,0,0,7,0.0,0
115,Isipin nyo din po mga student ah kung okay pspuba sila subject Ang I take sa midterm tapos may long quiz pa na magaganap sa Monday maawa Naman po kayo AcademicBreakNow Ang hirap po nang mga Gawain sobra na,isipin nyo po student ah okay pspuba subject take midterm tapos long quiz magaganap monday maawa naman po kayo academicbreaknow hirap po nang gawain sobra,0,-3,39,0.0,0
116,YOU MEAN TO TELL ME I WAS STRESSING MY BRAINS OUT UGLY CRYING AND WAS FULL BLOWN RUSHED FOR A PROJECT THAT WAS DUE ON SUNDAY that i thought was due today Ang saya days akong aligaga kase di ko pa nagagawa tapos ang layo pa pala ng deadline AcademicBreakNow,mean tell stressing brains ugly crying full blown rushed project due sunday thought due today saya days akong aligaga kase di nagagawa tapos layo pala deadline academicbreaknow,2,0,50,0.3333333333333333,1
120,Finally I understood the proverbial AcademicTwitter fake it until you make it Bravo learned it too AcademicChatter academicweapon AcademicBreakNow t co YaNOshwcLx,finally understood proverbial academictwitter fake make bravo learned academicchatter academicweapon academicbreaknow co yanoshwclx,0,0,22,0.0,0
126,wala nang pumapasok sa isip ko AcademicBreakNow,wala nang pumapasok isip academicbreaknow,0,0,7,0.0,0
128,Pati pala sa pag rereview by partner na haha academicbreaknow,pati pala pag rereview partner haha academicbreaknow,0,0,10,0.0,0
130,ang inactive ko na hays AcademicBreakNow,inactive hays academicbreaknow,0,0,6,0.0,0
131,ayoko na AcademicBreakNow,ayoko academicbreaknow,0,0,3,0.0,0
134,I can t I ve been sleep deprived for almost a month ever since my mom got a work AcademicBreakNow emz HAHA,sleep deprived almost month ever since mom got work academicbreaknow emz haha,3,0,22,0.5,1
135,Malapit na pala birthday ni Ssob academicbreaknow MarkTheCull ndar SB STANWORLD SWUnionWarmUp t co iLjA e j,malapit pala birthday ssob academicbreaknow markthecull ndar sb stanworld swunionwarmup co ilja e j,0,0,17,0.0,0
136,AcademicBreakNOW punyeta,academicbreaknow punyeta,0,0,2,0.0,0
137,academicbreaknow walang nagbibitbit ng bag ko anignatup,academicbreaknow nagbibitbit bag anignatup,0,0,7,0.0,0
138,Late for school oc digitalart putangina AcademicBreakNow originalcharacters t co TWC tLrYHD,late school oc digitalart putangina academicbreaknow originalcharacters co twc tlryhd,0,0,12,0.0,0
142,d stats the probability of me passing is step computation kada table tas anim n table asa exam talk to my lawyer n lng po paglabas ng scores manginginig betlog mo AcademicBreakNow,stats probability passing step computation kada table tas anim n table asa exam talk lawyer n lng po paglabas scores manginginig betlog mo academicbreaknow,0,0,32,0.0,0
143,Blue school stop na sa torture pls parang awa niyo na di ko na kaya sunodsunod na pinapagawa niyo sa amin tas next week exam na kala ko ba sembreak AcademicBreakNow,blue school stop torture pls parang awa niyo di sunodsunod pinapagawa niyo tas next week exam kala ba sembreak academicbreaknow,1,-2,31,-0.3333333333333333,0
145,gusto ko na mag aral tapos pag nag start na AcademicBreakNow HAHAHAHAHAHAH,mag aral tapos pag nag start academicbreaknow hahahahahahah,2,0,12,0.3333333333333333,1
147,tama ka na october AcademicBreakNow t co X ffjIi O,tama october academicbreaknow co x ffjii,1,0,10,1.0,1
148,This is true I m now clinging on the chance na makahabol for UP dahil d ko naasikaso bc of the work load Let them rest AcademicBreakNow t co C dlNfZWry,true clinging chance makahabol naasikaso bc work load let rest academicbreaknow co c dlnfzwry,1,0,31,1.0,1
149,AcademicBreakNow bolshet pagod na ako,academicbreaknow bolshet pagod,0,0,5,0.0,0
154,AcademicBreakNow pagod na po ako huhu,academicbreaknow pagod po huhu,0,0,6,0.0,0
155,di naman kasi ako katulad mo hahahahaha studyfirst nakamoveonna AcademicBreakNow xentanga,di naman kasi mo hahahahaha studyfirst nakamoveonna academicbreaknow xentanga,1,0,11,1.0,1
156,tangina pagod na ako AcademicBreakNow,tangina pagod academicbreaknow,0,-2,5,0.0,0
157,im so tired AcademicBreakNow,im tired academicbreaknow,0,0,4,0.0,0
158,academicbreaknow d ko na kaya,academicbreaknow,1,0,5,1.0,1
163,AcademicBreakNow UST Angelicum pagod na ako t co mrpHG hXB,academicbreaknow ust angelicum pagod co mrphg hxb,0,0,10,0.0,0
168,up until now I can t sleep may pasok pa ng am huhu AcademicBreakNow,sleep pasok huhu academicbreaknow,0,0,14,0.0,0
169,Miss q na ateez wala na ko time sa mga yon huhu AcademicBreakNow,miss q ateez wala time yon huhu academicbreaknow,0,0,13,0.0,0
171,AcademicBreakNow Hindi ko na po kaya tbh,academicbreaknow po tbh,1,0,7,1.0,1
172,nagkita na ulit tayo after ng stressful weeks natin huhu see you ulit after finals charot CoLLeGeLiFe AcAdEmIcBrEaKnOw NoMorEeXaMsPLs BeBeTiMeOnLy t co SVI ytHOK,nagkita ulit stressful weeks natin huhu see ulit finals charot collegelife academicbreaknow nomoreexamspls bebetimeonly co svi ythok,0,0,24,0.0,0
174,hbd hee belated academicbreaknow,hbd hee belated academicbreaknow,0,0,4,0.0,0
175,pagod na kong mag aral talaga AcademicBreakNow,pagod mag aral talaga academicbreaknow,2,0,7,0.3333333333333333,1
176,Had the scaries earlier because I wasn t being productive Shook it off amp enjoyed a fall Saturday doing fall things AcademicBreakNow t co wK BGyKh,scaries earlier productive shook amp enjoyed fall saturday fall things academicbreaknow co wk bgykh,3,-2,26,0.2,1
182,Lumalakas ang amoy ng Sembreak AcademicBreakNow,lumalakas amoy sembreak academicbreaknow,0,0,6,0.0,0
183,AcademicBreakNow hindi na kami nakakapag bebe time gt,academicbreaknow nakakapag bebe time gt,0,0,8,0.0,0
184,nakakahiya naman sa enha kung tatamad tamad tayo tas sila v hardworking AcademicBreakNow,nakakahiya naman enha tatamad tamad tas v hardworking academicbreaknow,0,0,13,0.0,0
185,hala saan toh shutta nadagdagan nanaman ng content na hindi pa napapanood kainis academicbreaknow hj t co xyA oeFD,hala toh shutta nadagdagan nanaman content napapanood kainis academicbreaknow hj co xya oefd,0,0,19,0.0,0
186,di na joke to pagod na po talaga kami AcademicBreakNow parang awa niyo na,di joke pagod po talaga academicbreaknow parang awa niyo,1,-2,14,-0.3333333333333333,0
190,wag niyo akong kausapin putangina i am speed AcademicBreakNow,wag niyo akong kausapin putangina speed academicbreaknow,0,0,9,0.0,0
191,ohmygad miss ko na ateez kingina busy na sa acads wala n me time sa mga Koreano q AcademicBreakNow,ohmygad miss ateez kingina busy acads wala n time koreano q academicbreaknow,0,-3,19,0.0,0
192,miss q na tumambay dito lt lt AcademicBreakNow,miss q tumambay lt lt academicbreaknow,0,0,8,0.0,0
193,ebarg daming gagawin di ko na po kaya AcademicBreakNow,ebarg daming di po academicbreaknow,1,0,9,1.0,1
197,This just happened after years of hard work caffeine overdrive and very very late nights it was worth it phdvoice PhD AcademicTwitter AcademicBreakNow t co cGNfw YRbZ,happened years hard work caffeine overdrive late nights worth phdvoice phd academictwitter academicbreaknow co cgnfw yrbz,2,0,27,0.3333333333333333,1
204,mauubos yong concealer sa eyebags ko bosit andaming pinapagawa academicbreaknow wearenotrobots,mauubos yong concealer eyebags bosit andaming pinapagawa academicbreaknow wearenotrobots,0,0,11,0.0,0
208,i missed jakehoon s live because of school AcademicBreakNow,missed jakehoon live school academicbreaknow,0,0,9,0.0,0
209,academicbreaknow sana ayoko sa business research,academicbreaknow sana ayoko business research,0,0,6,0.0,0
214,AcademicBreakNow bwiset,academicbreaknow bwiset,0,0,2,0.0,0
215,AcademicBreakNow pagod na kong makita siyang nakangiti habang kausap yung katabi niya,academicbreaknow pagod siyang nakangiti kausap yung katabi,0,0,12,0.0,0
220,pagod na me AcademicBreakNow,pagod academicbreaknow,0,0,4,0.0,0
222,what the fucking fuck AcademicBreakNow MentalHealthMatters AyawKoNaMabuhay IWannaKms Putangina,fucking fuck academicbreaknow mentalhealthmatters ayawkonamabuhay iwannakms putangina,0,-2,9,0.0,0
227,Kulang tulog q AcademicBreakNow,tulog q academicbreaknow,0,-2,4,0.0,0
228,hello ayoko na po magftf nahuhuli ako sa balita AcademicBreakNow pls eme,hello ayoko po magftf nahuhuli balita academicbreaknow pls eme,0,0,12,0.0,0
229,pagod na ko AcademicBreakNow,pagod academicbreaknow,0,0,4,0.0,0
231,nd day palang ng class pagod na ako AcademicBreakNow ems,nd day palang class pagod academicbreaknow ems,0,0,10,0.0,0
234,AcademicBreakNow dahil pagod na kami maging estudyante,academicbreaknow pagod estudyante,0,0,7,0.0,0
236,pagod na ko ma am AcademicBreakNow,pagod academicbreaknow,0,0,6,0.0,0
237,inang teacher to lahat ng pinagawa mo ginawa ko kumpleto aq don tas pag babalik na ung gawain wala Kang binalik sakin tas sabihin ulitin pag d nabalik tanga ka ba week d mo nabalik sakin academicbreaknow,inang teacher pinagawa mo kumpleto aq tas pag babalik ung gawain wala kang binalik sakin tas ulitin pag nabalik tanga ba week mo nabalik sakin academicbreaknow,0,-2,37,0.0,0
240,first day pa lang stress na agad ako AcademicBreakNow,first day lang stress agad academicbreaknow,0,0,9,0.0,0
241,spoilers abt clau s story made me cry wait for me til i finished all my school stffs AcademicBreakNow,spoilers abt clau story made cry wait til finished school stffs academicbreaknow,0,0,19,0.0,0
243,AcademicBreakNow uli kasi ayoko na,academicbreaknow uli kasi ayoko,0,0,5,0.0,0
244,HINAYAG SIGNAL SA DITO OI WOHOI WA PAY MAS HINAY ANA AcademicBreakNow cardoandlolaflorakissingscene pisskink wow siradonamoditooi,hinayag signal oi wohoi wa pay mas hinay ana academicbreaknow cardoandlolaflorakissingscene pisskink wow siradonamoditooi,1,0,16,1.0,1
251,What if gumawa na ako ng activities kaysa magingay dito sa twt AcademicBreakNow,activities magingay twt academicbreaknow,0,0,13,0.0,0
253,i m tired waking up every am academicbreaknow,tired waking every academicbreaknow,0,0,8,0.0,0
254,wahahahahha good morning nagsisimula na ang aking kalbaryo sa msu academicbreaknow,wahahahahha good morning nagsisimula kalbaryo msu academicbreaknow,1,0,11,1.0,1
255,gagi first day of school na academicbreaknow,gagi first day school academicbreaknow,0,0,7,0.0,0
257,ok cge me rin nakadeact pa stan acc tangina mo your faultttt follow din kita pag bakasyon na academicbreaknow,ok cge rin nakadeact stan acc tangina mo faultttt follow kita pag bakasyon academicbreaknow,0,-3,19,0.0,0
261,What did you struggle with the most while doing your research this week AcademicTwitter academicbreaknow phdlife,struggle research week academictwitter academicbreaknow phdlife,0,0,16,0.0,0
262,Dapat iprioritize mo ang top priority mo academicbreaknow magbasakangmanhwababes,iprioritize mo top priority mo academicbreaknow magbasakangmanhwababes,1,0,9,1.0,1
263,pahirapan na naman sumakay papasok this week taragis AcademicBreakNOW,pahirapan naman sumakay papasok week taragis academicbreaknow,0,-2,9,0.0,0
264,Naaamoy ko na ang simoy ng sembreak AcademicBreakNow,naaamoy simoy sembreak academicbreaknow,1,0,8,1.0,1
270,Grabe wala na ako masyadong time sa mga asawa kung di nag eexist paki cancelled po ng school year AcademicBreakNow,grabe wala masyadong time asawa di nag eexist paki cancelled po school year academicbreaknow,0,-2,20,0.0,0
271,Take breaks That s the tweet AcademicTwitter AcademicBreakNow AcademicBreakNow academiclife thisacademiclife academia academic Love,take breaks tweet academictwitter academicbreaknow academicbreaknow academiclife thisacademiclife academia academic love,0,0,14,0.0,0
272,inunang mag relax at mag cellphone bago gumawa ng mga dapat gawin natambakan me hirap na hirap na ko ayoko na please isa isa lang AcademicBreakNow,inunang mag relax mag cellphone gawin natambakan hirap hirap ayoko please lang academicbreaknow,1,-4,26,-0.6,0
274,Team micro with the vibrant senior scientist from CSIR NEERI Dr Rajesh today csir csirneeri Scientist researchers AcademicTwitter AcademicChatter AcademicBreakNow Academia environmentalsustainability environment bioremed t co R tbaoqUk,team micro vibrant senior scientist csir neeri dr rajesh today csir csirneeri scientist researchers academictwitter academicchatter academicbreaknow academia environmentalsustainability environment bioremed co r tbaoquk,1,0,28,1.0,1
277,AcademicBreakNow sugat sugat na kamay ko,academicbreaknow sugat sugat kamay,0,-2,6,0.0,0
281,Hello academicians You need to have a rest To activate your best Thus try to find time for yourself if possible AcademicTwitter AcademicBreakNow phdvoice,hello academicians need rest activate best thus try find time possible academictwitter academicbreaknow phdvoice,2,0,24,1.0,1
284,No memecoin like marvin that s for sure marvinauts the best community ever marvin marvin MarvinArmy bnb bsc xgem ethereum Crypto Bitcoin AcademicBreakNow t co GAiCLOu h,memecoin like marvin sure marvinauts best community ever marvin marvin marvinarmy bnb bsc xgem ethereum crypto bitcoin academicbreaknow co gaiclou h,2,0,27,1.0,1
286,Hindi ko na kaya academicbreaknow,academicbreaknow,1,0,5,1.0,1
288,New episode I ve been on lots job interview panels over the years Here s what I learned about how to do well and how to cope when you don t get the job Listen t co h NBB TM AcademicChatter AcademicBreakNow fridaymorning NationalPoetryDay WorldSmileDay t co y yx f RE,new episode lots job interview panels years learned well cope get job listen co h nbb tm academicchatter academicbreaknow fridaymorning nationalpoetryday worldsmileday co yx f,1,0,51,1.0,1
290,academicbreaknow wala nakong time for enhypen,academicbreaknow wala nakong time enhypen,0,0,6,0.0,0
291,academicbreaknow HAHAHAHA eme joke lang po omg,academicbreaknow hahahaha eme joke lang po omg,0,0,7,0.0,0
292,kainis di ko na mapanood yung love is for suckers at cheer up dahil sa kaaaral AcademicBreakNow,kainis di mapanood yung love suckers cheer kaaaral academicbreaknow,2,0,17,1.0,1
293,may groupings nanaman tangina wala nakong time sa enhypen AcademicBreakNow,groupings nanaman tangina wala nakong time enhypen academicbreaknow,0,-2,10,0.0,0
295,nakakatamad pumasok AcademicBreakNow,nakakatamad pumasok academicbreaknow,0,-2,3,0.0,0
297,kapagod mag aral AcademicBreakNow,kapagod mag aral academicbreaknow,1,0,4,1.0,1
298,AcademicBreakNow walang gumaganito sakin t co Wda MKZG L,academicbreaknow gumaganito sakin co wda mkzg l,0,0,9,0.0,0
299,pagod na pagod na ko AcademicBreakNow,pagod pagod academicbreaknow,0,-2,6,0.0,0
302,d na ako makapag stream pota may pasok ako hanggang gabi AcademicBreakNow,makapag stream pota pasok gabi academicbreaknow,0,0,12,0.0,0
304,miss ko na limang alikabok ko AcademicBreakNow,miss limang alikabok academicbreaknow,0,-2,7,0.0,0
310,AcademicBreakNow wala na kong time kay mark lee malala na to,academicbreaknow wala time kay mark lee malala,0,-2,11,0.0,0
312,wala ng araw na di ako pagod AcademicBreakNow,wala araw di pagod academicbreaknow,0,-2,8,0.0,0
313,Risking your research done is important in creating an environment where u feel it is either upscaling or downscaling of skills and ethics AcademicChatter academictwitter academicbreaknow research academicfreedom,risking research done important creating environment u feel either upscaling downscaling skills ethics academicchatter academictwitter academicbreaknow research academicfreedom,1,0,28,1.0,1
314,i missed yunki s live academicbreaknow,missed yunki live academicbreaknow,0,0,6,0.0,0
317,school works getting in the way of me and dream ACADEMICBREAKNOW t co K qgGU K,school works getting way dream academicbreaknow co k qggu k,1,0,16,1.0,1
319,amaccana acads nakakasira ka na ng ulo AcademicBreakNow,amaccana acads nakakasira ulo academicbreaknow,0,0,8,0.0,0
320,Grabe yung midterms di madaan sa dasal AcademicBreakNow Nag aral,grabe yung midterms di madaan dasal academicbreaknow nag aral,1,0,10,1.0,1
321,wala na akong time sa kpop academicbreaknow,wala akong time kpop academicbreaknow,0,0,7,0.0,0
330,nang pasok yan am AcademicBreakNow,nang pasok yan academicbreaknow,0,0,5,0.0,0
331,AcademicBreakNow pagod na ko,academicbreaknow pagod,0,0,4,0.0,0
333,HELLO B Just kidding hi everyone I m back HAHAHAHAHAHA been ia because of classes ftf wasn t a good idea AcademicBreakNow HAHAHAHAHA napapabayaan ko na svt ko,hello b kidding hi everyone back hahahahahaha ia classes ftf good idea academicbreaknow hahahahaha napapabayaan svt,2,0,28,1.0,1
335,Berny finishes page sa nirereview Nagtiktok ng ilang mins Triny istart second page Berny Teka lang rest muna Pat Ang kapal ng mukha mo AcademicBreakNow,berny finishes page nirereview nagtiktok ilang mins triny istart second page berny teka lang rest muna pat kapal mukha mo academicbreaknow,0,0,25,0.0,0
336,AcademicBreakNow pakisuspend ng pasok bukas please t co RIsPgbgJUL t co DpLGOu Wq,academicbreaknow pakisuspend pasok bukas please co rispgbgjul co dplgou wq,0,0,13,0.0,0
340,Goals today teach class write abstract be generally amazing AcademicTwitter AcademicChatter AcademicBreakNow MondayMotivation,goals today teach class write abstract generally amazing academictwitter academicchatter academicbreaknow mondaymotivation,1,0,13,1.0,1
343,ang sakit na ng buong katawan ko monday palang academicbreaknow t co GtDhhzTMpZ,sakit buong katawan monday palang academicbreaknow co gtdhhztmpz,0,0,13,0.0,0
344,wala pa ko sa module AcademicBreakNow,wala module academicbreaknow,0,0,6,0.0,0
349,pucha mag s start na ata concert ng enhypen nasa school pa rin ako hindi ko na kaya to academicbreaknow,pucha mag start ata concert enhypen nasa school rin academicbreaknow,1,-3,20,-0.5,0
351,tangina may klase na ulit next week AcademicBreakNow,tangina klase ulit next week academicbreaknow,0,0,8,0.0,0
354,AcademicBreakNow bitch i just wanna live,academicbreaknow bitch wanna live,0,0,6,0.0,0
355,Wrote paragraphs and had an amazing idea burst for an idea change in chapter Now to reward myself with a disproportionately sized break AcademicBreakNow Pdhlife AcademicWriting,wrote paragraphs amazing idea burst idea change chapter reward disproportionately sized break academicbreaknow pdhlife academicwriting,3,0,26,0.5,1
358,hindi ko pa pala nasasagutan yung number sa math potngena ayaw ko na stop na pls AcademicBreakNow,pala nasasagutan yung number math potngena ayaw stop pls academicbreaknow,0,-3,17,0.0,0
363,bosit na school to di ko mapapanood yung concert tmr haha academicbreaknow,bosit school di mapapanood yung concert tmr haha academicbreaknow,0,0,12,0.0,0
368,hindi ko naabotan ung space nila ACADEMICBREAKNOW,naabotan ung space academicbreaknow,0,0,7,0.0,0
371,Research things noway pakyu AcademicBreakNow,research things noway pakyu academicbreaknow,0,0,5,0.0,0
372,Sa sobrang busy ko sa school hindi ko natutuunan ng pansin koreano ko AcademicBreakNow,sobrang busy school natutuunan pansin koreano academicbreaknow,0,0,14,0.0,0
374,AcademicBreakNow hehe pagod na ako,academicbreaknow hehe pagod,0,0,5,0.0,0
376,Ready na po ako mag academicbreaknow thank you,ready po mag academicbreaknow thank,1,0,8,1.0,1
377,AcademicBreakNow gusto ko mag nct lang t co eL w MMg,academicbreaknow mag nct lang co el w mmg,1,0,11,1.0,1
